name,url,category,title,description,author,upload_date,full_transcript
Tricuspid Annular Plane Systolic Excursion (TAPSE),https://cloud.butterflynetwork.com/-/edu/iYAuzHYbTBO23jzjC1lSug,Cardiac,Tricuspid Annular Plane Systolic Excursion (TAPSE),Learn how to obtain TAPSE using the Butterfly,Michael Stone,5/10/2023,"We are going to show you how to calculate the TAP-C or Tricuspid Annual Plane of Cystolic Excursion. The first thing that we're going to want to do is make sure that we're on the appropriate preset by hitting that preset button and selecting Cardiac and next Holly is going to show us how to obtain an apical 4-chamber view. After we get that apical 4-chamber view we can optimize our image just a tad bit by maneuvering the transducer changing the gain a bit because you want to see that lateral wall of that right ventricle and once you get a good view we're going to now put the emo tracing on it so hit the actions button and then hit the emo button and bring that emo cursor over to the lateral wall of that right ventricle. Now what we're seeing here is we're seeing just like two to three beats we want to see more of it so what you can do to change the sweep speed is just hit that fast button and now we've changed the sweep speed so we can see a lot more of that emo tracing. After we get a good emo tracing Holly is going to hit the freeze button and then calculate the excursion. The way that you do that is you select the measure button, hit the line tool and then select and it peek to a trough. So let's start off by placing it at the trough and then the second part of the line we're going to put it on the peak right there so we have a trough to peak and what's good about the butterfly app is that you just have to measure the slope and it will calculate the wide distance of that triangle for you and we see here a number of 2.04 for this patient's tapsee and that's how you use the butterfly to evaluate the patient's tapsee."
Central Venous Access - Subclavian Vein,https://cloud.butterflynetwork.com/-/edu/XCVroOpEQVu0PnQEhG-3Zw,Vascular Access,Central Venous Access - Subclavian Vein,Learning scanning techniques for placing a subclavian vein central line.,Adwana Clayton,3/22/2023,"I'm going to show you how to evaluate the subclavian vein for central venous catheterization. You want to make sure that you're in the appropriate preset. We have the vascular access preset selected here, which is the right one. And then you're going to want to place the probe on the patient. Go ahead and use a pencil grip on that transducer and identify the midpoint of the clavicle. Place your transducer with the probe marker towards the patient's head. Place it right there. And we see the first landmark right here. So this is a hyperacolic arc with some shadowing deep to it. That is the clavicle. We are going to bring the transducer just a little more inferiorly. Now we're going to track it in the lateral aspect to identify the blood vessels. We're slowly coming out. And then we're starting to see a structure just on the deep field right here. We're a little off screen, so we're going to adjust the depth to four centimeters. And we're going to increase our gain to be able to see a little bit better. And then we're going to continue tracking out laterally. And we can see here that we see a hypocoic circle. And then we are seeing a second one just deep to it. One of those is the vein. One of those is the artery. The first one that pops out is going to be your vein. And the second one is going to be the artery. And if you're not sure, there's a couple of things that you can do to confirm. If you're able to, you can push down just a little bit. And you can see that one collapses while the other one doesn't. The other thing that you can do is you can actually put color doppler on those blood vessels to see which one has pulsed the tile flow and which one has more venous flow. We can see here that we're seeing venous flow on that first blood vessel there, which is confirming that we have a venous structure, not an arterial structure. Once we've identified the vessel that we want to cannulate, we have to be considered about where our venous puncture is actually going to happen. When we are doing subclavian lines in forclavian lines with our landmark guidance, we typically do is we aim for our puncture site to be just underneath that clavicle aiming for that super journal notch. It's a little different with ultrasound guidance because we want to make sure that we are approaching that vein in parallel with the path of that vein. We're not getting at it obliquely. So to do that, once we've identified the vein, which we're seeing right here, we actually track it more inferiorly and laterally to make sure that it's saying in the center of the screen as we move that transducer back and forth. This confirms that at this plane where I have the transducer, I am perpendicular to the path of that vein. And when I do that, I know that if I come with my needle perpendicular to the probe, I am parallel to the vein. So our puncture site is actually going to be a little more inferior and a little more lateral than we typically do with landmark guidance. Now that is in the short axis. If we want to do the long axis, once we have centered our vein there on the screen, we're going to slowly rotate our transducer probe marker up towards the patient's head to get that vein in the long axis. You can see here that vein in the long axis. Now what's good about doing it in the long axis, about doing your cannulation that way, is that you can actually create a safety backstop for your procedure. If we look deep to the vein here, we're actually seeing a rib with shadowing. And if we are approaching our cannulation from this location here, our needle will come in here. And if we happen to go a little bit too far and accidentally puncture that posterior wall, we're just going to hit this rib. We're not going to hit the other scary structure that's deep to it, which we can actually see as I go a little more inferiorly right here, which is the long pleura. It's actually very close. When we approach it this way with that rib right underneath, we are much safer when we do these cannulations. Of note, when we do the initial venopuncture, we're actually doing our venopuncture in the axillary vein as it turns into the subclavian. And we want to make sure to do our puncture of that vein before it goes underneath that clavicle. Because if we happen to not have cannulated that vein and the needle tips underneath the clavicle, we can't see it because the ultrasound cannot see deep to bone. Now that is the infra-clavicular approach. We can also do a supraclavicular approach. We're just going to move your head over that way. And then what we do is we'll first identify the jugular vein, which we can see right here in the center of the screen. And we're going to track that down to see when it becomes the brachiosophallic, which is what we're seeing right there. And if we track it a little more lateral, we can now see a hypoechoic linear structure. We're going to actually see a valve right there. And that is where we would do our cannulation for the subclavian vein in the supraclavicular location. We do our venopuncture right there. And that is how you use your butterfly to evaluate the subclavian vein for central venous access. [no audio]"
Femoral Artery Line Placement,https://cloud.butterflynetwork.com/-/edu/sjL4op5ORb-kJAXgFP8ekQ,Procedural,Femoral Artery Line Placement,Learn scanning techniques for placing a femoral arterial line,Adwana Clayton,3/22/2023,"This is how you evaluate a patient for adequate femoral artery line placement. First things first, what we're going to do is make sure that we have the appropriate preset. We want to be in the vascular access preset. I'm going to put the transducer down for a little bit, get a little ultrasound gel on there. Now, if the patient is able to have them externally rotate the leg that you are going to be evaluating, but if not, obviously go ahead and do that for them. You want that transducer marker right here. You want that to go towards the patient's right. And we're going to aim for about the middle part of the upper thigh just on the coddle end of that in-line ligament, right about here. So I see a bunch of soft tissue up here. There's a muscle over here. I'm going to slide a little more laterally. And there I'm seeing some circles that have hypoec fluid on the inside of them. These are the femoral blood vessels. Now, if you're not sure which one is which, what you can do is actually hold down pressure. And as we hold down pressure, we see that some of the blood vessels, they will completely collapse. The other ones collapse less and they begin to pulsate. The pulsatile ones are going to be the arteries. The non-pulsatile ones are going to be the veins. Now, I'm going to optimize my image just a little bit. I'm going to increase that gain so I can see it a little bit more clearly. I'm going to give it one more little bit on that depth right there. And what I'm going to do now is find exactly where to cannulate on that artery. So let's focus on that artery right there in the middle. Now, I'm going to go up the leg towards the in-line ligament. And you see how right there the two branches of the artery, they will combine right there. Now, I'm going to move distally. You can see them separate. I'm going to hold down pressure. And you can see that they both are pulsatile. Those are branches of that femoral artery. Right here, we have the common femoral. And then over here, we have the branch point to the deep and the superficial branches. When you are cannulating the femoral artery, always make sure to cannulate at the common femoral artery. If you happen to cannulate over here and hit that superficial artery, you actually run a higher risk of complications such as aneurysms. Now, if you're doing this in short axis, that's where you want to have that transducer. If you want to place it in long axis, what you do is you just identify that femoral artery and then you will rotate it with a pro marker facing up towards the patient's head. And you see here that artery in long axis. And in this view, we can very easily see the common femoral branching off into the superficial and deep arterial branches. And that is how you evaluate a femoral artery for cannulation. [BLANK_AUDIO]"
Right Kidney Longitudinal,https://cloud.butterflynetwork.com/-/edu/kOpAjbrEQjufeudbsoJhdg,Renal,Right Kidney Longitudinal,Learn how to scan the right kidney in a longitudinal view,Adwana Clayton,3/22/2023,"I'm going to show you how to examine the right kidney using the butterfly. We want to make sure that we're in the abdomen preset. You can go ahead and tap the presets button and select abdomen. Once your preset is activated, we want to put some gel on our transducer. And I like to start right in the costal margin down here in the right flank. I'm going to go ahead and put my probe down. And if you're not seeing a lot of anything, you can go ahead and start to slide superiorly on the patient. And typically the first thing you're going to encounter here is going to be liver, which is good. It's a great landmark. As I continue moving up between the ribs here, I now encounter my right kidney, which we can see here. I want to make sure that I sweep through the entire kidney just to rule out any pathology. I'm just going to sweep laterally and coming back immediately by rocking my transducer. Once I feel like I've covered the entire kidney, I want to go ahead and get my kidney elongated so that I can take a measurement. Once I feel like I've got the greatest length, I'm going to go ahead and freeze my image. Here I'm just using the cine to bring it back to a spot where I feel like my image is nice and crisp. I'm going to go ahead and use my annotation and measurement tool to bring up line. We've got a couple of calipers here. I'm going to go ahead and take my first one and place it at the superior pull of the kidney. And I'll take my second one and place it here at the inferior pull of the kidney. And once I'm happy with the position of those calipers, I can go ahead and store an image. And our measurement is displayed at the bottom of the screen. It's 10 centimeters, which is a totally normal measurement for a kidney. We can also take an anterior posterior measurement of the kidney with the same image. I'm going to go ahead and tap on my annotation and measurement tool, bring up another line. And I'm going to go ahead and place my calipers in an anterior posterior fashion here. I've got a measurement of 4.4 centimeters, and if I'm happy with that, I can go ahead and store an image. I'm going to go ahead and unfreeze. Another thing that we want to make sure that we examine when we're looking at the kidney is we want to make sure that we look at the echogenicity of the kidney to make sure that it looks appropriate. We can see that the renal cortex is a bit darker, and the renal sinus is a bit brighter. And that's a normal appearance for a kidney. We don't want our renal cortex to get anywhere near the echogenicity of our renal sinus. Another thing that we can do as a comparison is compare the echogenicity of the liver to the renal cortex. We always want to make sure that the echogenicity of our renal cortex is either iso or hypo or coic to the echogenicity of our liver. And that's how we examine the right kidney using the butterfly. [BLANK_AUDIO]"
Right Kidney Transverse,https://cloud.butterflynetwork.com/-/edu/jzFGj9bXSoSsaFST_ECaJQ,Renal,Right Kidney Transverse,Learn how to scan the right kidney in a transverse view,Adwana Clayton,3/22/2023,"I'm going to demonstrate how to survey the right kidney in its short axis using the butterfly. I'm going to use the abdominal preset for this, so I'm going to go ahead and tap on the presets button and select abdomen. Once my preset is activated, I'm going to go ahead and place my transducer here at the mid-axillary line. And using my liver as a landmark, I'm going to go ahead and move inferiorly on my patient until I bump into my right kidney. Since we're in the short axis, the kidney is going to appear as a C-shaped structure. We can see that the renal cortex is the darker gray and our renal sinus is the lighter, brighter white color in the center of our C here. Once I locate my kidney, I'm going to go ahead and optimize my image by decreasing my depth. I'm also going to increase my gain, a small amount. And once I'm happy with the appearance of my image, I want to sweep through the entire kidney to make sure that I get a good look from multiple to rule out anything abnormal. I'm going to go ahead and angle towards my patient's head and slowly sweep down, moving through the kidney as I angle towards my patient's feet. Once I'm happy with that, and I feel like I visualize the whole kidney, I want to come back and get a good image at the midpoint. At the midpoint, we should see a C-shape with a break there in the center. We want to make sure that we have it relatively symmetrical. And once I get an image that I'm happy with, I'm going to go ahead and freeze. I'm going to use my Cine feature to move back a few frames. I'm going to go ahead and select that image and store it. I'm going to then tap on my annotation and measurement tool. And this is going to allow me to take a measurement of the width of my kidney here at its midpoint. I'm going to go ahead and grab my first caliper and place it at the edge of the renal cortex. And I'm going to take my second caliper and bring it right into the area where the kidney breaks to the edge of where the cortex would continue through. If I'm happy with that, I'm going to go ahead and take an image. And we can see the measurement on the bottom of the screen. In this case, it's 4.3 centimeters. And that's how you survey your right kidney in the short axis using the butterfly. [BLANK_AUDIO]"
LVOT variation of peak systolic velocity,https://cloud.butterflynetwork.com/-/edu/E4O4ArKxTnivgZxR6RKB8A,Cardiac,LVOT variation of peak systolic velocity,Learn how to evaluate variability in peak systolic velocity through the left ventricular outflow tract (LVOT) with the Butterfly.,Adwana Clayton,2/22/2023,We are going to show you how to evaluate the variability in the peak systolic velocity through the LVOT. We do this specifically to look for the presence or absence of volume responsiveness in a critically ill patient. We have the cardiac preset selected and what Holly is going to do is she's going to get us an apical 5 chamber view of the heart. Once we find the appropriate window we want to optimize our image. After we get a view here what Holly is going to do is she's going to increase the gain just ever so size we get a better view excellent and now what we'll do is it will hit the actions button and select the post Doppler function and place that post Doppler gate just proximal to the aortic valve in the LVOT. Now we'll hit start spectrum and we're getting away from now it's a little bit faint so what we can do here is we can increase the gain by swapping right and we're getting a good waveform here. Now we're seeing just five beats we want more of them so the way that we change the sweep speed is we're going to hit that fast scroll button it's going to switch it to slow scroll which is going to give us a lot more beats here after we get a tracing of the post Doppler signal. Now if we notice right here we kind of have lost the signal which happens very frequently if that happens just go ahead and update that B mode setting which is what Holly is going to do right here and make sure that our Doppler gate is in the appropriate area right there and then let's give it another shot and right there way better signal we're in the appropriate spot right in the center we're going to nice hollow waveform and once we get a good tracing go ahead and hit that freeze button and then we can relax the probe hand. What we do here is we want to make sure to measure the highest peak systolic velocity and then the lowest systolic velocity that we have off of this tracing and we can identify the presence or options of volume response into this way after we get our waveform now we're going to measure the peak velocities hit the annotation and distance button hit the line tool and then let's pick our highest peak right now so I think yep I think it's probably that one will start off with our first measurement at the baseline there and then put the second at the peak and then the lowest one I think it's probably that one right there is going to be our lowest peak velocity and we start at the base right there and then we are going to bring that second one over to the end of it right there that's a little adjustment and now we have our two values we have at 94 centimeters per second and 72 centimeters per second and the way we calculate percents change is the biggest number minus the smallest number over the biggest number times that by 100 and that will give us the percent change in the peaks of solid velocity through the LVOT and that is how you use your butterfly to measure the variation in the peaks of solid velocity using your apical 5 chamber view
IVC - Percent Collapse,https://cloud.butterflynetwork.com/-/edu/VIfy12aYQwWcz4qRtEL4fg,Cardiac,IVC - Percent Collapse,Learn how to identify the percent collapse of the inferior vena cava (IVC) using the Butterfly,Adwana Clayton,2/22/2023,"I'm going to show you how to identify the percent collapse of the inferior vena cava using your butterfly. Make sure that you have the appropriate preset selected by hitting the preset button and selecting abdomen. If you have trouble with this view on the abdomen setting, you can always select abdomen deep, but for this exam, we are going to use abdomen. The first step is going to be identifying the inferior vena cava. We're going to do that by placing the transducer in the sub-ziofoid area with the pro marker facing up towards the patient's head. The first blood vessel that we are identifying right here in the center of the screen is a pulsatile blood vessel with thick walls. And as we track it more cephalad, we are going to see that it is actually going posterior to that heart. This is not the IVC. This is the aorta. We are going to bring our transducer over towards the patient's right. And then we can see another blood vessel that is the IVC. We can see it going directly into that right atrium. Now I'm going to rotate my transducer to try and get that IVC perfectly into that long axis. We don't want to see any pinching off of one end or the other because that can mean that we're oblique with the axis of that IVC. Once we identify the IVC, we are going to decrease our depth just a tad bit and adjust our gain. And we're going to have our patient go through a few respiratory cycles, maybe one or two, and just watch it as they go through that respiratory cycle. And once they have about one or two respiratory cycles complete, now we're going to do our calculation. Hit that freeze button right there and then you can remove the transducer. Now it's very important that we don't use the M mode function for this specific measurement. The reason why is the IVC actually moves quite a bit due to the fact that it's tethered to the diaphragm. If we use M mode, we are actually going to be measuring two completely different areas of that IVC, which would give us an inaccurate measurement. After you've hit that freeze button, what we're going to do is we're going to identify the smallest caliber and the highest caliber diameter size of that IVC. I'm going to hit the time button and I'm going to scrub through until I get to the smallest caliber. So that's what we're seeing right here. After we have identified the smallest caliber, we're going to hit the select button here. So it freezes there and now we're going to do our measurement. We want to identify a location to measure at two centimeters from the right atrial junction. So we'll hit our line and annotate button. We're going to hit the line tool and we're going to place one end of this line right at the junction of the right atrium and the IVC and the second line, we are going to identify a location two centimeters from that place. It doesn't have to be exact. We're going to get to 2.06 close enough and at that location is where we're going to measure the diameter. So we're going to hit that button again. We're going to press the line tool and we're going to measure the diameter right at that location. So we got there and there. So our first number that we have obtained is .34 as our smallest caliber. We're going to hit our camera button to save it and then we're going to delete our measurements to get our second number. We're going to hit that time button again and now we're going to select the largest caliber of that IVC. So right about here we have our largest caliber and we basically do the exact same thing. So we'll select, we'll hit the annotation and line button. We're going to identify a location two centimeters from the right atrial IVC junction. All right there and then we'll go ahead and hit that again to measure that diameter. And our second measurement here is 1.61. To measure the percent change, what we're going to do is we're going to take our biggest number minus our smallest number, divide that by our biggest number and multiply that by 100. And that's how we use the butterfly to identify the percent collapse of the IVC. >> Okay."
Appendix,https://cloud.butterflynetwork.com/-/edu/wDoDzgwLQIC0z7Tf1y_BmA,Gastrointestinal,Appendix,Learn how to scan the appendix using the Butterfly.,Adwana Clayton,2/22/2023,"I'm going to show you how to identify the appendix using the butterfly. Typically when we are evaluating abdominal structures, we want to be in the abdomen setting. However, with the evaluation of the appendix, we're going to be a little more superficial and looking at a small structure. So the best setting to use is going to actually be your MSK soft tissue setting, which you select by hitting the preset button. There are quite a few protocols that you can use to identify where the appendix is, but I like to start by identifying the Eliac artery as my initial landmark. We are going to have our transducer in a pencil grip with a pro marker facing over to the patient's right. And we're going to place that transducer right in the right lower quadrant, identifying the Eliac artery, which we are seeing right here. We are going to maximize our image by slightly increasing our gain. And we're going to apply a little bit of pressure here to make sure that we can get that bowel gas out of our window. After I've identified the Eliac artery, I am going to now track up and down on that Eliac artery, seeing a bit of bowel gas right there. And then here, we're again able to see that Eliac artery. I'm going to slowly track that Eliac artery and try and identify where that appendix might be. Oftentimes, we see it in relation to that Eliac artery, which is why we're using that as our window. Now we're having a bit of artifact from the bowel right there. And it's obscuring our image, which honestly happens fairly frequently. There's a couple of different ways that you can kind of get around it. What I am doing right now is I'm actually just applying a little more pressure to help me bowel kind of parasols out of the way of the window. And as I do that, I am now able to see a circular structure, just superior and lateral towards the right of that Eliac artery. See it right there. I'm going to decrease my depth just a little bit there to evaluate it a little bit further. And there's a circular structure there that I believe is the appendix. Now what I'm going to do is I'm just going to watch it and I'm going to hold pressure to make sure that it does not parasols out of the way, which we are not seeing here. As I track it, I can see that it actually is contiguous with that chunk of bowel right here that we're seeing with that air artifact, which is the CECOM. After you've identified the structure that you believe is the appendix, go ahead and hit that freeze button right there and then go ahead and measure that diameter. We're going to hit our annotations and line tool, select the line tool and measure the diameter of the appendix. We're going to want to make sure to measure the outer wall to outer wall to get an accurate measurement and in this specific case, we are seeing a diameter of 0.26 centimeters. And that's how you use the butterfly to identify the appendix. [BLANK_AUDIO]"
Liver Measurement,https://cloud.butterflynetwork.com/-/edu/gyT8KgDxSPOId29t6Xlctg,Tropical Medicine,Liver Measurement,Learn how to examine the liver texture and assess for hepatomegaly using the Butterfly.,Adwana Clayton,2/22/2023,"We're going to use the butterfly to examine the texture of the liver and assess for hepato megalae. First, tap the presets button and choose abdomen for preset. Place your probe in the costal margin and your patient can be supine or in this left lateral decubidus position. Here we see the normal liver including the bright hypercoic diaphragm, the normal liver and the kidney over on the right side of the screen. An easy assessment of the size of the liver is to measure and assess the inferior edge of the liver by sliding your probe inferiorly. I'm going to change our gain a little bit. Here is the inferior edge of the liver and here is the inferior edge of the kidney. In most patients, a normal sized liver will not pass inferior to the inferior edge of the kidney. And in fact, in most patients, the inferior edge of this liver should not pass beyond the halfway point of the kidney. Here we see the inferior edge of this patient's liver and this patient's kidney. To make actual measurement, which sometimes can be subjective, try to get it all in one screen, your diaphragm and the entire liver with relation to the kidney. Take a deep breath in and hold it. There you go. And exhale. I'm going to cine back a little bit and then use my measurement tool to measure the liver edge from the diaphragm to the tip of the liver. And that's how you assess for hepatomegaly using your butterfly. [BLANK_AUDIO]"
Corrected Flow Time (cFT) - Common Carotid Artery,https://cloud.butterflynetwork.com/-/edu/ULEQ7b80QaWTpg9ljjtZdA,Arterial,Corrected Flow Time (cFT) - Common Carotid Artery,Learn how to calculate the corrected flow time of the carotid artery with the Butterfly.,Adwana Clayton,2/22/2023,I'm going to show you how to calculate the corrected flow time of the carotid artery. Make sure that you have the appropriate preset by hitting the preset button and selecting your carotid preset. Next have your patient rotate their head a little bit away from you and you want to use your transducer and a bit of a pencil grip and you want to place it just on the lateral aspect of the neck right around there. We're seeing a couple of structures here. We're seeing the sternocledomastoid muscle up top. We see the jugular vein here and then right there that circular hypocoic structure is the carotid artery which we are seeing in the short axis. We want to identify where the bulb is in the carotid artery which is the area of the common carotid right before it splits into the internal and external carotid arteries. So we're going to track that up towards the jaw and right there we're seeing to get a little bit bigger and then split off into those two branches. We'll come back a little more approximately and then we'll rotate our transducer to see the carotid artery in the long axis. After you have the carotid in the long axis you want to tilt it either towards the head or down to get a little more of an angle of that carotid artery to get a good pull stop alert signal. You'll hit the actions button and then hit pull stop alert and place the stop alert gate right in the center of that lumen. We're going to change our angle just a little bit to make sure that we are parallel with that blood vessel. We're seeing here let's try to make sure we get it right in the center to get that laminar flow and then we're going to hit the start spectrum button. And here we're getting our waveform and once we get a couple of spikes there we're going to then hit freeze and do our time calculation. The way that we do that is we're going to hit our label and measure button right here and we are going to calculate two things. The first one is going to be the time insistally. We're going to find the beginning of that first big spike and then we are going to find the dichrotic notch which dichrotic notch is that little notch right here. So we're going to place that right where that dichrotic notch is and we're getting a time of 0.32 seconds. That's our first number and our second one is actually going to be the entire cycle time. What I usually do with that is I go to our line tool here and I will pick the peak of one of those systolic spikes towards the peak of the other one and that gives us the cycle time and then we have a time of 1.05 seconds. The calculation that we want to use is the corrected flow time calculation. There are many but the one that is in the literature most commonly is going to be the time insistally divided by the square root of the entire cycle time and that will give you the corrected flow time. And that's how you use your butterfly to calculate the corrected flow time of the carotid artery. [BLANK_AUDIO]
